LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE,CURRENT_BALANCE,FICO_SCORE,LTV,ORIG_VALUE,AVM_VALUE,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,LOAN_AGE,FICO_BIN,LTV_BIN
32478156,6/1/10,9/21/10,,,,12/22/10,QRNOCF,Landmark Credit Union,8039586,WI,No,No,3/26/10,75040,765,93.80000305,92000,,,,P,B,Credit Unions,Steve Winston,12/22/10,4,SEMT 2012-1,6/1/13,38.21023019,"[700.0, 800.0)","(90.0, 95.0]"
20162182,3/15/12,3/19/12,,4/19/12,,6/18/12,ZFPCSJ,Bankers Bank,38841,WI,No,No,1/20/12,235500,765,94.19999695,250000,,,,R,B,Community Banks,Mike Willams,5/30/12,4,SEMT 2012-5,6/1/13,16.36173227,"[700.0, 800.0)","(90.0, 95.0]"
28747715,11/23/10,1/20/11,,,,4/5/11,YGTWVT,Red Canoe Credit Union,32960114,WA,No,No,8/11/10,267000,765,94.34999847,283000,224590,Yes,283000,R,B,Credit Unions,Allie Martin,3/16/11,4,WFMBS 2006-AR4,6/1/13,33.67625619,"[700.0, 800.0)","(90.0, 95.0]"
26540509,4/19/11,5/4/11,,5/18/11,,6/1/11,INLFCB,Midwest Community Bank,602964263,IL,No,No,2/15/11,85025,765,95,90000,,,,P,B,Community Banks,Steve Winston,6/1/11,4,WFMBS 2006-AR4,6/1/13,27.49953798,"[700.0, 800.0)","(90.0, 95.0]"
23242328,6/21/11,6/23/11,,,,9/21/11,NNWZQO,Idaho Central Credit Union,6994678424,ID,No,No,5/5/11,123025,765,95,130000,,,,P,B,Credit Unions,,,5,SEMT 2012-5,6/1/13,24.90400214,"[700.0, 800.0)","(90.0, 95.0]"
25483726,12/20/11,12/22/11,,1/4/12,,1/13/12,POBWCZ,Hantz Bank,T-MI-11-0396,MI,No,No,9/16/11,127300,765,95,134000,,,,R,B,Community Banks,Steve Winston,1/5/12,4,SEMT 2012-5,6/1/13,20.50144767,"[700.0, 800.0)","(90.0, 95.0]"
32712365,4/19/11,5/4/11,,5/17/11,,6/8/11,MHQPHR,Scott Credit Union,50006847,IL,No,No,3/26/11,140600,765,95,148000,139000,,,R,B,Credit Unions,Steve Winston,5/31/11,4,WFMBS 2006-5,6/1/13,26.2181975,"[700.0, 800.0)","(90.0, 95.0]"
27727623,7/11/12,7/12/12,,7/30/12,,8/1/12,HHVIAA,Franklin American Mortgage Company,414580761,NH,No,No,6/1/12,204250,765,95,215000,,,,P,B,Mortgage Banker - (Large),Steve Winston,7/26/12,4,WFMBS 2006-AR4,6/1/13,11.99203269,"[700.0, 800.0)","(90.0, 95.0]"
18608128,10/8/12,10/10/12,11/12/12,11/13/12,,1/4/13,WHNKIK,Residential Mortgage Services Inc,1465081063,NH,No,No,6/1/12,311837,765,95,350000,,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,1/2/13,4,SEMT 2012-5,6/1/13,11.99203269,"[700.0, 800.0)","(90.0, 95.0]"
31289595,12/20/11,12/29/11,,1/19/12,,2/29/12,ONXNUT,SWBC Mortgage Corporation,160817,CO,No,No,11/8/11,353875,765,95,372500,,,,P,B,Mortgage Banker - Bank Owned,Steve Winston,2/16/12,4,WFMBS 2006-5,6/1/13,18.76013881,"[700.0, 800.0)","(90.0, 95.0]"
